Student ID,student_name,gender,grade,school_name,reading_score,math_score,math_passed,reading_passed,overall
18061,Scott Clark,M,9th,Bailey High School,81,72,1,1,1
18062,Jesus Rodriguez,M,10th,Bailey High School,72,60,0,1,0
18063,Angela Velez,F,10th,Bailey High School,86,55,0,1,0
18064,Linda Singh,F,9th,Bailey High School,81,97,1,1,1
18065,Jennifer Farley,F,11th,Bailey High School,83,91,1,1,1
18066,William Perry,M,9th,Bailey High School,73,73,1,1,1
18067,Sarah Williams,F,10th,Bailey High School,80,75,1,1,1
18068,Amanda Taylor,F,10th,Bailey High School,98,95,1,1,1
18069,Ashley Gonzalez,F,10th,Bailey High School,81,61,0,1,0
18070,Anna Nelson,F,12th,Bailey High School,67,77,1,0,0
18071,Parker Ward,M,10th,Bailey High School,68,71,1,0,0
18072,Shannon Wilson,F,11th,Bailey High School,69,57,0,0,0
18073,Amy Stephens,F,10th,Bailey High School,64,97,1,0,0
18074,Terry Santana,F,9th,Bailey High School,91,91,1,1,1
18075,Heather Reid,F,11th,Bailey High School,66,96,1,0,0
18076,Linda Harris,F,10th,Bailey High School,68,58,0,0,0
18077,Stanley Howard,M,11th,Bailey High School,90,78,1,1,1
18078,Deborah Meadows,F,12th,Bailey High School,63,83,1,0,0
18079,Jacob Wilson,M,12th,Bailey High School,91,63,0,1,0
18080,Heather Malone,F,11th,Bailey High School,64,81,1,0,0
18081,Tammy Mooney,F,12th,Bailey High School,84,72,1,1,1
18082,Justin Bernard,M,11th,Bailey High School,67,99,1,0,0
18083,Erin Barton,F,10th,Bailey High School,92,70,1,1,1
18084,Joseph Odonnell,M,12th,Bailey High School,83,61,0,1,0
18085,Brenda Caldwell,F,12th,Bailey High School,74,68,0,1,0
18086,Nicolas Mendoza,M,11th,Bailey High School,87,57,0,1,0
18087,Marcus Kelly,M,11th,Bailey High School,90,85,1,1,1
18088,Michelle Campbell,F,10th,Bailey High School,92,88,1,1,1
18089,James Alexander,M,10th,Bailey High School,82,64,0,1,0
18090,Cameron Davis,M,12th,Bailey High School,99,66,0,1,0
18091,Melvin Smith,M,12th,Bailey High School,86,60,0,1,0
18092,April Stevens,F,9th,Bailey High School,71,77,1,1,1
18093,Anthony Torres,M,9th,Bailey High School,75,61,0,1,0
18094,Anita Flores,F,12th,Bailey High School,80,57,0,1,0
18095,Manuel Miller,M,12th,Bailey High School,94,57,0,1,0
18096,Allison Bradshaw,F,12th,Bailey High School,77,72,1,1,1
18097,Wayne Guerrero,M,9th,Bailey High School,64,95,1,0,0
18098,Monique Carter,F,9th,Bailey High School,84,72,1,1,1
18099,Tyler Silva,M,12th,Bailey High School,70,55,0,1,0
18100,Christine Lee,F,9th,Bailey High School,94,82,1,1,1
18101,Jay Smith,M,9th,Bailey High School,72,96,1,1,1
18102,Robert Reyes,M,9th,Bailey High School,71,73,1,1,1
18103,Richard Macdonald,M,9th,Bailey High School,68,91,1,0,0
18104,Linda Kim,F,10th,Bailey High School,63,71,1,0,0
18105,Amber Nelson,F,10th,Bailey High School,90,95,1,1,1
18106,Jerry Martin,M,11th,Bailey High School,93,79,1,1,1
18107,Jonathan Tucker,M,9th,Bailey High School,96,76,1,1,1
18108,Shane Hansen,M,11th,Bailey High School,73,76,1,1,1
18109,Emily Myers,F,10th,Bailey High School,81,83,1,1,1
18110,Chelsea Kemp,F,9th,Bailey High School,83,89,1,1,1
18111,Anthony Foster,M,10th,Bailey High School,93,82,1,1,1
18112,Melanie Keller,F,12th,Bailey High School,92,90,1,1,1
18113,Karen Thompson,F,10th,Bailey High School,64,57,0,0,0
18114,Michael House,M,12th,Bailey High School,80,65,0,1,0
18115,Kerri Gardner,F,12th,Bailey High School,80,74,1,1,1
18116,Jordan Hawkins,M,11th,Bailey High School,91,60,0,1,0
18117,Michael Mcfarland,M,12th,Bailey High School,94,60,0,1,0
18118,Rita Gordon,F,11th,Bailey High School,99,84,1,1,1
18119,Nicholas Ortiz,M,11th,Bailey High School,89,69,0,1,0
18120,Melissa Bowman,F,9th,Bailey High School,65,78,1,0,0
18121,Kim Decker,F,10th,Bailey High School,63,93,1,0,0
18122,Jerry Brown,M,11th,Bailey High School,69,94,1,0,0
18123,William Simpson,M,9th,Bailey High School,78,79,1,1,1
18124,Amanda Davis,F,9th,Bailey High School,86,73,1,1,1
18125,Cory Bradley,M,11th,Bailey High School,78,55,0,1,0
18126,Brandon Medina,M,9th,Bailey High School,86,58,0,1,0
18127,Shaun Coleman,M,12th,Bailey High School,90,87,1,1,1
18128,Holly Davis,F,12th,Bailey High School,82,97,1,1,1
18129,Patricia Williams,F,9th,Bailey High School,67,79,1,0,0
18130,Larry Cline,M,11th,Bailey High School,69,93,1,0,0
18131,Chase Villa,M,11th,Bailey High School,71,83,1,1,1
18132,Deborah Hill,F,11th,Bailey High School,66,99,1,0,0
18133,Donald Harris,M,11th,Bailey High School,77,61,0,1,0
18134,Jeremy Charles,M,9th,Bailey High School,82,65,0,1,0
18135,Karen Munoz,F,12th,Bailey High School,99,68,0,1,0
18136,Cynthia Browning,F,10th,Bailey High School,72,68,0,1,0
18137,Tyler Gonzalez,M,9th,Bailey High School,87,92,1,1,1
18138,Ryan Hammond,M,10th,Bailey High School,82,91,1,1,1
18139,Robert Rivers,M,10th,Bailey High School,83,94,1,1,1
18140,Michael Huff,M,12th,Bailey High School,95,66,0,1,0
18141,Harry Brown,M,10th,Bailey High School,76,71,1,1,1
18142,Samuel Wood,M,12th,Bailey High School,77,66,0,1,0
18143,Christian Valencia,M,11th,Bailey High School,67,77,1,0,0
18144,Kristen Green,F,9th,Bailey High School,78,89,1,1,1
18145,Charles Taylor,M,10th,Bailey High School,94,82,1,1,1
18146,Jacqueline Rivera,F,11th,Bailey High School,93,66,0,1,0
18147,Richard Waller,M,9th,Bailey High School,67,58,0,0,0
18148,Laura Lindsey,F,9th,Bailey High School,96,81,1,1,1
18149,Miranda Lara,F,11th,Bailey High School,77,79,1,1,1
18150,Anthony Pittman,M,12th,Bailey High School,96,84,1,1,1
18151,Monica Wilson,F,10th,Bailey High School,81,55,0,1,0
18152,Joshua Young,M,12th,Bailey High School,84,87,1,1,1
18153,Aaron Gonzalez,M,11th,Bailey High School,81,60,0,1,0
18154,Mark Alvarez,M,9th,Bailey High School,85,89,1,1,1
18155,Timothy Long,M,11th,Bailey High School,94,64,0,1,0
18156,Justin Barnett,M,10th,Bailey High School,74,68,0,1,0
18157,John Khan,M,11th,Bailey High School,69,60,0,0,0
18158,Patricia Ingram,F,12th,Bailey High School,97,96,1,1,1
18159,Matthew Thomas,M,9th,Bailey High School,96,93,1,1,1
18160,Ariel Harrison,F,10th,Bailey High School,72,74,1,1,1
18161,Ryan Norman,M,11th,Bailey High School,79,63,0,1,0
18162,Margaret Santiago,F,12th,Bailey High School,92,75,1,1,1
18163,Patrick Wyatt,M,10th,Bailey High School,77,96,1,1,1
18164,William Smith,M,11th,Bailey High School,73,62,0,1,0
18165,William Adams,M,10th,Bailey High School,87,72,1,1,1
18166,Robert Roman,M,11th,Bailey High School,91,91,1,1,1
18167,Donald Payne,M,11th,Bailey High School,74,74,1,1,1
18168,Heather Gould,F,9th,Bailey High School,78,88,1,1,1
18169,Jesus Jackson,M,11th,Bailey High School,96,92,1,1,1
18170,Aimee Anderson,F,10th,Bailey High School,84,63,0,1,0
18171,Ryan Kim,M,10th,Bailey High School,78,66,0,1,0
18172,Jacqueline Snow,F,9th,Bailey High School,91,99,1,1,1
18173,Jennifer Schroeder,F,10th,Bailey High School,95,81,1,1,1
18174,Melissa Reed,F,10th,Bailey High School,63,74,1,0,0
18175,April Calderon MD,F,9th,Bailey High School,86,68,0,1,0
18176,Olivia Cruz,F,11th,Bailey High School,63,71,1,0,0
18177,Michael Walters,M,9th,Bailey High School,87,94,1,1,1
18178,Erin Hale,F,9th,Bailey High School,65,78,1,0,0
18179,Benjamin Gonzalez,M,10th,Bailey High School,93,59,0,1,0
18180,Michael Anderson,M,9th,Bailey High School,88,66,0,1,0
18181,Julie Morton,F,12th,Bailey High School,92,65,0,1,0
18182,Brett Garcia,M,12th,Bailey High School,68,90,1,0,0
18183,Joyce Knight,F,12th,Bailey High School,75,82,1,1,1
18184,Peggy Bautista,F,9th,Bailey High School,79,70,1,1,1
18185,Christopher Carter,M,11th,Bailey High School,91,72,1,1,1
18186,Gina Barber,F,9th,Bailey High School,90,76,1,1,1
18187,Sandra Hart,F,10th,Bailey High School,67,71,1,0,0
18188,Heidi Ashley,F,10th,Bailey High School,74,99,1,1,1
18189,James Harris,M,12th,Bailey High School,76,75,1,1,1
18190,Christian Moreno,M,12th,Bailey High School,94,78,1,1,1
18191,Kimberly Patterson,F,10th,Bailey High School,78,98,1,1,1
18192,Lisa Knight,F,10th,Bailey High School,87,56,0,1,0
18193,David Harris,M,9th,Bailey High School,83,64,0,1,0
18194,Kari Barton,F,12th,Bailey High School,75,55,0,1,0
18195,Deborah Macias,F,10th,Bailey High School,78,96,1,1,1
18196,Luis Stewart,M,12th,Bailey High School,84,70,1,1,1
18197,Courtney Powers,F,11th,Bailey High School,86,78,1,1,1
18198,Richard Meyers,M,11th,Bailey High School,81,86,1,1,1
18199,Andrew Spence,M,11th,Bailey High School,69,84,1,0,0
18200,Sean Watkins,M,12th,Bailey High School,99,64,0,1,0
18201,Robert Mitchell,M,12th,Bailey High School,67,57,0,0,0
18202,Nathan Jones,M,9th,Bailey High School,89,59,0,1,0
18203,William Dunlap,M,11th,Bailey High School,69,95,1,0,0
18204,Adam Cruz,M,9th,Bailey High School,76,96,1,1,1
18205,Curtis Hall,M,11th,Bailey High School,72,75,1,1,1
18206,Peter Gonzalez,M,9th,Bailey High School,68,59,0,0,0
18207,Christy Robbins,F,11th,Bailey High School,77,72,1,1,1
18208,Lori Holt,F,11th,Bailey High School,78,62,0,1,0
18209,Patricia Tucker,F,10th,Bailey High School,77,72,1,1,1
18210,Carl Fox,M,11th,Bailey High School,91,66,0,1,0
18211,Barbara Robinson,F,9th,Bailey High School,83,98,1,1,1
18212,Jonathan Young,M,10th,Bailey High School,67,97,1,0,0
18213,Steven Wong,M,9th,Bailey High School,81,66,0,1,0
18214,Karen Davis,F,10th,Bailey High School,70,72,1,1,1
18215,Joanna Santos,F,11th,Bailey High School,81,56,0,1,0
18216,Ashley Carter,F,11th,Bailey High School,91,78,1,1,1
18217,John Parker,M,10th,Bailey High School,79,72,1,1,1
18218,Adam Herring,M,9th,Bailey High School,80,63,0,1,0
18219,Sara Bowen,F,10th,Bailey High School,92,92,1,1,1
18220,Patricia Miller,F,9th,Bailey High School,98,68,0,1,0
18221,Jessica Crane,F,11th,Bailey High School,67,62,0,0,0
18222,Jim Stevens,M,9th,Bailey High School,76,86,1,1,1
18223,Jordan Mclaughlin,M,9th,Bailey High School,87,75,1,1,1
18224,Alison Caldwell,F,11th,Bailey High School,72,92,1,1,1
18225,Chad Fowler,M,11th,Bailey High School,78,84,1,1,1
18226,Keith Martinez,M,11th,Bailey High School,72,78,1,1,1
18227,Kenneth Robinson,M,11th,Bailey High School,70,59,0,1,0
18228,Katherine Wilson,F,11th,Bailey High School,98,99,1,1,1
18229,Vincent Martin,M,9th,Bailey High School,69,78,1,0,0
18230,Tracey Benson,F,9th,Bailey High School,93,65,0,1,0
18231,Ethan Beltran,M,12th,Bailey High School,99,83,1,1,1
18232,Jeffrey Griffin,M,12th,Bailey High School,78,88,1,1,1
18233,Natasha Everett,F,9th,Bailey High School,88,58,0,1,0
18234,Erin Parks,F,9th,Bailey High School,74,89,1,1,1
18235,Stephen Thompson,M,9th,Bailey High School,66,79,1,0,0
18236,Jay Khan,M,10th,Bailey High School,70,93,1,1,1
18237,Robert Anderson,M,12th,Bailey High School,81,81,1,1,1
18238,Christopher Ferguson,M,11th,Bailey High School,69,99,1,0,0
18239,Daniel King,M,9th,Bailey High School,65,70,1,0,0
18240,Wanda Johnson,F,11th,Bailey High School,86,78,1,1,1
18241,Danny Banks,M,12th,Bailey High School,79,85,1,1,1
18242,Benjamin Murray,M,9th,Bailey High School,82,81,1,1,1
18243,Kristen Smith,F,9th,Bailey High School,97,91,1,1,1
18244,John Carrillo,M,9th,Bailey High School,74,97,1,1,1
18245,Bradley Clayton,M,12th,Bailey High School,71,82,1,1,1
18246,Mark Browning,M,9th,Bailey High School,68,63,0,0,0
18247,Logan Boone,M,11th,Bailey High School,93,59,0,1,0
18248,Christopher Grimes,M,12th,Bailey High School,89,56,0,1,0
18249,Mrs. Kimberly Key DDS,F,12th,Bailey High School,98,77,1,1,1
18250,Eric Park DDS,M,9th,Bailey High School,70,68,0,1,0
18251,Aaron Pearson,M,11th,Bailey High School,97,93,1,1,1
18252,Brian Mosley,M,9th,Bailey High School,91,62,0,1,0
18253,Patricia Marsh,F,9th,Bailey High School,78,56,0,1,0
18254,Jennifer Anderson,F,9th,Bailey High School,94,63,0,1,0
18255,Danielle Hood,F,9th,Bailey High School,80,57,0,1,0
18256,Matthew Carter,M,9th,Bailey High School,93,77,1,1,1
18257,Randy Grant,M,12th,Bailey High School,73,85,1,1,1
18258,John Sanchez,M,12th,Bailey High School,91,74,1,1,1
18259,Stephanie Thomas,F,9th,Bailey High School,96,75,1,1,1
18260,Lauren Brady,F,12th,Bailey High School,87,81,1,1,1
18261,Leonard Harris,M,12th,Bailey High School,80,57,0,1,0
18262,Cathy Mercado,F,9th,Bailey High School,77,87,1,1,1
18263,Juan Young,M,11th,Bailey High School,90,62,0,1,0
18264,Robert Gray,M,10th,Bailey High School,99,96,1,1,1
18265,Zachary Walton,M,11th,Bailey High School,80,88,1,1,1
18266,Roberto Smith,M,10th,Bailey High School,92,89,1,1,1
18267,Sheila Lewis,F,9th,Bailey High School,82,64,0,1,0
18268,Gloria Vega,F,10th,Bailey High School,77,74,1,1,1
18269,Alison Nunez,F,12th,Bailey High School,69,73,1,0,0
18270,Jennifer Stevens,F,12th,Bailey High School,73,96,1,1,1
18271,Patrick Barker PhD,M,9th,Bailey High School,63,64,0,0,0
18272,Steven Mccoy,M,10th,Bailey High School,82,88,1,1,1
18273,Connie Patterson,F,11th,Bailey High School,99,97,1,1,1
18274,Ana Burns,F,9th,Bailey High School,84,65,0,1,0
18275,Michael Singh Jr.,M,10th,Bailey High School,86,86,1,1,1
18276,Douglas Sharp,M,11th,Bailey High School,72,66,0,1,0
18277,Alexander Dickson,M,10th,Bailey High School,72,85,1,1,1
18278,Mary Estrada,F,12th,Bailey High School,91,74,1,1,1
18279,Aaron Evans,M,12th,Bailey High School,93,76,1,1,1
18280,William Ramirez,M,10th,Bailey High School,95,90,1,1,1
18281,Rebecca Pratt,F,10th,Bailey High School,71,84,1,1,1
18282,Chloe Downs,F,9th,Bailey High School,66,58,0,0,0
18283,Katherine Case,F,11th,Bailey High School,97,66,0,1,0
18284,Brooke Carter,F,10th,Bailey High School,87,92,1,1,1
18285,Nancy Alexander,F,12th,Bailey High School,75,99,1,1,1
18286,Jeremy Maxwell,M,10th,Bailey High School,73,74,1,1,1
18287,James Fleming,M,12th,Bailey High School,65,58,0,0,0
18288,Makayla Gutierrez,F,10th,Bailey High School,68,72,1,0,0
